processed_text	POStags	proba	original_text
We stand united with the victims of the brutal attack in Paris and with the people of France ! #JeSuisCharlie RT ! http://t.co/mH5l2a9eVy	O V A P D N P D A N P ^ & P D N P ^ , # ~ , U	0.9961 0.9748 0.4689 0.9998 0.9997 0.9997 0.9994 0.9990 0.9964 0.9269 0.9988 0.9985 0.9977 0.9987 0.9996 0.9998 0.9992 0.9985 0.9906 0.9398 0.5400 0.9881 0.9975	We stand united with the victims of the brutal attack in Paris and with the people of France! #JeSuisCharlie RT! http://t.co/mH5l2a9eVy                 
Map shows where gun attack on satirical magazine #CharlieHebdo took place in central Paris http://t.co/5AZAKumpNd http://t.co/ECFYztMVk9	N V R N V P A N # V N P A ^ U U	0.7779 0.9365 0.9350 0.7457 0.6213 0.8939 0.9465 0.9936 0.4886 0.9654 0.8998 0.9915 0.5946 0.9826 0.9947 0.9992	Map shows where gun attack on satirical magazine #CharlieHebdo took place in central Paris http://t.co/5AZAKumpNd http://t.co/ECFYztMVk9                
Zuckerberg on #CharlieHebdo : Facebook will protect free speech http://t.co/xHhVh8IXbX http://t.co/t10RSN5I2s	^ P ^ , ^ V V A N U U	0.7185 0.9594 0.8702 0.9519 0.9898 0.9579 0.9983 0.9926 0.9994 0.9948 0.9992	Zuckerberg on #CharlieHebdo: Facebook will protect free speech http://t.co/xHhVh8IXbX http://t.co/t10RSN5I2s                                            
Gunshots and explosions heard in #Dammartin http://t.co/LdSF5QeCiv http://t.co/VoqNdOeYfm	^ & N V P ^ U U	0.5868 0.9980 0.9812 0.9988 0.8637 0.7305 0.9948 0.9988	Gunshots and explosions heard in #Dammartin http://t.co/LdSF5QeCiv http://t.co/VoqNdOeYfm                                                               
Charlie Hebdo’s editor : " When activists need a pretext to justify their violence , they always find it . ” #CharlieHebdo	^ Z N , , R N V D N P V D N , O R V O , , #	0.9964 0.5652 0.9932 0.9298 0.9943 0.9860 0.9834 0.9976 0.9973 0.9984 0.9992 0.9995 0.9947 0.9988 0.9972 0.9927 0.9965 0.9996 0.9726 0.9978 0.8916 0.9547	Charlie Hebdo’s editor:  "When activists need a pretext to justify their violence, they always find it.”  #CharlieHebdo                                 
#illridewithyou and #respectformuslims and #jesuischarlie all trended worldwide . Not so much on #jesuisjuif . Jewish blood is cheap .	# & ^ & # D A A , R R R P ^ , A N V A ,	0.6305 0.9986 0.4092 0.9984 0.4458 0.7933 0.4178 0.5701 0.9987 0.9946 0.9881 0.5706 0.9913 0.5633 0.9945 0.8074 0.9982 0.9961 0.9819 0.9982	#illridewithyou and #respectformuslims and #jesuischarlie all trended worldwide. Not so much on #jesuisjuif. Jewish blood is cheap.                     
My clip on @BBCNews - scrutinising Islam as an idea is not the same as anti-Muslim hate crime http://t.co/Gugd4FqiK3 #JeSuisCharlie	D N P @ , V ^ P D N V R D A P N V N U #	0.9975 0.9976 0.9956 0.9890 0.8109 0.4830 0.9676 0.9766 0.9944 0.9920 0.9985 0.9930 0.9987 0.9808 0.9298 0.3098 0.8105 0.9921 0.9961 0.9721	My clip on @BBCNews - scrutinising Islam as an idea is not the same as anti-Muslim hate crime http://t.co/Gugd4FqiK3 #JeSuisCharlie                     
#NUJ on Charlie Hebdo killings : assassination of journalists and an attempt to assassinate the free press . - https://t.co/nKSv4QlSEY	^ P ^ ^ N , N P N & D N P V D A N , , U	0.5265 0.9882 0.9997 0.9926 0.8868 0.9472 0.9994 0.9955 0.9609 0.9980 0.9560 0.6357 0.9985 0.9998 0.9994 0.9764 0.9994 0.9964 0.4675 0.9928	#NUJ on Charlie Hebdo killings: assassination of journalists and an attempt to assassinate the free press. - https://t.co/nKSv4QlSEY                    
#CharlieHebdo -an equal opportunity satirical mag in the grand tradition of #France . Long may that tradition continue ! #FreedomOfSpeech	# D A N A N P D A N P ^ , A V D N V , #	0.8756 0.2940 0.9839 0.9945 0.9603 0.9892 0.9989 0.9992 0.9113 1.0000 0.9976 0.8124 0.9813 0.8741 0.8253 0.8675 0.9990 0.9235 0.9971 0.9775	#CharlieHebdo-an equal opportunity satirical mag in the grand tradition of #France. Long may that tradition continue! #FreedomOfSpeech                  
12 people have reportedly been killed in a shooting at French satirical magazine Charlie Hebdo http://t.co/j5QlD3v5IS http://t.co/eXEx2Sm7K5	$ N V R V V P D N P ^ A N ^ ^ U U	0.9957 0.9993 0.9981 0.9850 0.9939 0.9986 0.9265 0.9925 0.9795 0.9984 0.9445 0.8977 0.9873 0.9917 0.9882 0.9945 0.9992	12 people have reportedly been killed in a shooting at French satirical magazine Charlie Hebdo http://t.co/j5QlD3v5IS http://t.co/eXEx2Sm7K5            
Have said it before , but needs saying again : Stop asking Muslims to condemn terrorism . It's bigoted and Islamophobic . http://t.co/6dzrywffN1	V V O P , & V V R , V V N P V N , L A & ^ , U	0.9879 0.9974 0.9894 0.5330 0.9977 0.9929 0.9846 0.9917 0.9822 0.9516 0.9115 0.9899 0.8265 0.9988 0.9982 0.9925 0.9986 0.9918 0.9955 0.9979 0.6307 0.9814 0.9985	Have said it before, but needs saying again: Stop asking Muslims to condemn terrorism. It's bigoted and Islamophobic. http://t.co/6dzrywffN1            
JUST IN : Two brothers responsible for Charlie Hebdo massacre have been killed in Dammartin standoff , according to multiple reports	R P , $ N A P ^ ^ N V V V P ^ N , V P A N	0.9996 0.9521 0.7258 0.7690 0.9819 0.5910 0.9993 0.9992 0.9948 0.7314 0.9910 0.9702 0.9986 0.8914 0.9347 0.9227 0.9976 0.9988 0.9727 0.6260 0.9947	JUST IN: Two brothers responsible for Charlie Hebdo massacre have been killed in Dammartin standoff, according to multiple reports                      
A 60-second tribute to the victims of the #CharlieHebdo attack http://t.co/SNQBRuh48T http://t.co/WFYN11sijj	D A N P D N P D ^ V U U	0.9748 0.9714 0.9982 0.9997 0.9994 0.9997 0.9994 0.9940 0.9265 0.6100 0.9956 0.9993	A 60-second tribute to the victims of the #CharlieHebdo attack http://t.co/SNQBRuh48T http://t.co/WFYN11sijj                                            
These four pillars of press freedom gone ... #CharlieHebdo http://t.co/eLaGHYVrHN	D $ N P N N V , # U	0.9511 0.7363 0.9984 0.9974 0.9657 0.9940 0.8729 0.9873 0.9206 0.9972	These four pillars of press freedom gone... #CharlieHebdo http://t.co/eLaGHYVrHN                                                                        
#BREAKING Paris newspaper Charlie Hebdo will come out next week , despite bloodbath : editorialist	# ^ N ^ ^ V V T A N , P N , N	0.8844 0.9928 0.9813 0.9923 0.9919 0.9594 0.9999 0.6370 0.8338 0.9978 0.9981 0.8608 0.9984 0.9850 0.7551	#BREAKING Paris newspaper Charlie Hebdo will come out next week, despite bloodbath: editorialist                                                        
BREAKING NEWS : The 4 French cartoonists killed in #CharlieHebdo terror attack today . RIP http://t.co/CjmNTDWgzP	V N , D $ ^ N V P ^ N N N , G U	0.6419 0.9206 0.7961 0.9885 0.8889 0.5283 0.9921 0.9990 0.8914 0.8154 0.5533 0.8438 0.9973 0.9978 0.7098 0.9947	BREAKING NEWS: The 4 French cartoonists killed in #CharlieHebdo  terror attack today. RIP http://t.co/CjmNTDWgzP                                        
LIVE coverage on the hostage situation with Paris attack suspects : http://t.co/LB5e3yCY3B http://t.co/U5c4Px2Ev0	A N P D N N P ^ V V , U U	0.6660 0.9995 0.9986 0.9994 0.9869 0.9972 0.9998 0.9986 0.5138 0.7676 0.9617 0.9951 0.9994	LIVE coverage on the hostage situation with Paris attack suspects: http://t.co/LB5e3yCY3B http://t.co/U5c4Px2Ev0                                        
Our statement on the Charlie Hebdo attack : defend freedom of speech , resist hatred . https://t.co/1Ok61nfRwj	D N P D ^ ^ N , V N P N , V N , U	0.9917 0.9974 0.9986 0.9959 0.9992 0.9927 0.6456 0.9691 0.9838 0.9956 0.9960 0.9924 0.9974 0.9004 0.9789 0.9985 0.9953	Our statement on the Charlie Hebdo attack: defend freedom of speech, resist hatred. https://t.co/1Ok61nfRwj                                             
" Our thoughts and prayers are with the victims of this terrorist attack and the people of France " -Pres . Obama statement on #CharlieHebdo .	, D N & N V P D N P D A N & D N P ^ , ^ , ^ N P ^ ,	0.9855 0.9895 0.9910 0.9941 0.9857 0.9932 0.9994 0.9997 0.9997 0.9989 0.9740 0.9437 0.9822 0.9914 0.9987 0.9998 0.9992 0.9970 0.9919 0.8304 0.9912 0.9795 0.9157 0.9934 0.8263 0.9926	"Our thoughts and prayers are with the victims of this terrorist attack and the people of France" -Pres. Obama statement on #CharlieHebdo.              
The Earth without Art is just ' Eh ' . #streetart #JeSuisCharlie http://t.co/72XpFM2kOn	D N P ^ V R , ! , , # # U	0.9899 0.5714 0.9949 0.6449 0.9881 0.9982 0.9509 0.5713 0.9797 0.9889 0.9429 0.9830 0.9986	The Earth without Art is just 'Eh'. #streetart #JeSuisCharlie http://t.co/72XpFM2kOn                                                                    
If you r a Muslim on social media & have not yet tweeted " I am #CharlieHebdo , " then you are an Islamist and our enemy http://t.co/7NtlBSwJU0	P O V D A P A N & V R R V , O V ^ , , R O V D ^ & D N U	0.9973 0.9992 0.9962 0.9962 0.5818 0.9756 0.8620 0.9902 0.9944 0.9955 0.9959 0.9868 0.9483 0.9969 0.9977 0.9974 0.5977 0.9957 0.9969 0.9841 0.9992 0.9996 0.9628 0.8290 0.9985 0.9878 0.9924 0.9975	If you r a Muslim on social media &amp; have not yet tweeted "I am #CharlieHebdo," then you are an Islamist and our enemy http://t.co/7NtlBSwJU0        
" Now they're gonna think we're all bad guys " , a Muslim bar owner from the neighborhood told me #CharlieHebdo	, R L V V L D A N , , D A N N P D N V O #	0.9957 0.9684 0.8247 0.9956 0.9993 0.9464 0.7368 0.9975 0.9993 0.9961 0.9960 0.9931 0.7304 0.9990 0.9821 0.9999 0.9991 0.9673 0.9993 0.9981 0.8686	"Now they're gonna think we're all bad guys", a Muslim bar owner from the neighborhood told me #CharlieHebdo                                            
Tensions high : French police stop scooter near scene of kosher grocery http://t.co/ezfzdBjrbb http://t.co/MXJqNSM1Jm	N N , ^ N V N P N P A N U U	0.8245 0.8885 0.9045 0.8338 0.6791 0.8250 0.9793 0.9891 0.9905 0.9903 0.9599 0.9889 0.9929 0.9994	Tensions high: French police stop scooter near scene of kosher grocery http://t.co/ezfzdBjrbb http://t.co/MXJqNSM1Jm                                    
World sends messages of condolence , outrage , defiance via #JeSuisCharlie after Paris attack : http://t.co/deqrOSVi0m http://t.co/Ama2pSOvZN	^ V N P N , N , N P ^ P ^ N , U U	0.4828 0.9713 0.9972 0.9970 0.9566 0.9981 0.9826 0.9977 0.9765 0.9819 0.5796 0.9758 0.9972 0.9194 0.9177 0.9947 0.9992	World sends messages of condolence, outrage, defiance via #JeSuisCharlie after Paris attack: http://t.co/deqrOSVi0m http://t.co/Ama2pSOvZN              
No one can say this is a surprise . In July window-smashing rioters stormed thru Paris chanting ' gas the Jews ' http://t.co/krRNeIst27	D $ V V O V D N , P ^ N N V P ^ V , N D N , U	0.8230 0.5140 0.9708 0.9996 0.9681 0.9990 0.9971 0.9915 0.9977 0.9744 0.9975 0.9105 0.9771 0.9956 0.9019 0.9981 0.9973 0.9873 0.8702 0.9969 0.6620 0.9266 0.9978	No one can say this is a surprise. In July window-smashing rioters stormed thru Paris chanting 'gas the Jews' http://t.co/krRNeIst27                    
This Michael Shaw cartoon from the @NewYorker archives says a little and says a lot . #charliehebdo http://t.co/FqL1EhMLwj	D ^ ^ N P D @ N V D A & V D N , # U	0.8493 0.9996 0.9928 0.7814 0.9999 0.9922 0.9804 0.9019 0.9994 0.9979 0.9804 0.9976 0.9994 0.9959 0.9588 0.9988 0.9237 0.9981	This Michael Shaw cartoon from the @NewYorker archives says a little and says a lot. #charliehebdo http://t.co/FqL1EhMLwj                               
We are all Charlie Hebdo . Kill us all ! #CharlieHebdo @Charlie_Hebdo_ http://t.co/7jFelOTDxw	O V D ^ ^ , V O D , # @ U	0.9957 0.9998 0.8136 0.9985 0.9873 0.9901 0.9979 0.9580 0.5215 0.9935 0.9437 0.9980 0.9979	We are all Charlie Hebdo. Kill us all!  #CharlieHebdo @Charlie_Hebdo_ http://t.co/7jFelOTDxw                                                            
White terrorists are ' mentally ill ' , while brown terrorists are ' Islamic assassins ' . #NAACPBombing #CharlieHebdo http://t.co/UUqT97Gzvu	A N V , R L , , P A N V , ^ N , , # # U	0.9115 0.9993 0.9967 0.9806 0.9993 0.7198 0.9127 0.9924 0.6196 0.7938 0.9991 0.9960 0.9653 0.8915 0.9477 0.9664 0.9919 0.9617 0.9691 0.9983	White terrorists are 'mentally ill', while brown terrorists are 'Islamic assassins'. #NAACPBombing #CharlieHebdo http://t.co/UUqT97Gzvu                 
Why terrorists can't kill Charlie Hebdo ‘ s ideas http://t.co/dHvxbOyF7g	R N V V ^ ^ , G N U	0.8796 0.9843 0.9996 0.9990 0.9984 0.9808 0.6376 0.5953 0.9229 0.9966	Why terrorists can't kill Charlie Hebdo‘s ideas http://t.co/dHvxbOyF7g                                                                                  
Just as French society rose up and nobly said #JeSuisCharlie , it must now stand with its Jewish community and say #JeSuisJuif – I Am a Jew .	R P ^ N N T & R V ^ , O V R V P L A N & V ^ , O V D N ,	0.9995 0.7045 0.8981 0.9579 0.6394 0.4202 0.9980 0.5207 0.9810 0.7550 0.9971 0.9961 0.9976 0.9968 0.9574 0.9981 0.6661 0.9194 0.9982 0.9972 0.9812 0.4672 0.8366 0.9917 0.9987 0.9977 0.7550 0.9984	Just as French society rose up and nobly said #JeSuisCharlie, it must now stand with its Jewish community and say #JeSuisJuif – I Am a Jew.             
Everything we know about the #CharlieHebdo attack so far http://t.co/oqu0qi6N8v http://t.co/uLT5JPOj4t	N O V P D ^ V R R U U	0.9532 0.9944 0.9992 0.9968 0.9899 0.9265 0.6723 0.9646 0.9598 0.9949 0.9992	Everything we know about the #CharlieHebdo attack so far http://t.co/oqu0qi6N8v http://t.co/uLT5JPOj4t                                                  
We don't know who carried out Charlie Hebdo attack . However if they were Muslims , then they are the enemies of me and most other Muslims .	O V V O V T ^ ^ N , R P O V N , R O V D N P O & R A N ,	0.9971 1.0000 0.9993 0.9974 0.9998 0.7868 0.9988 0.9927 0.5487 0.9991 0.9771 0.9985 0.9971 0.9982 0.6347 0.9991 0.9578 0.9945 0.9995 0.9983 0.9990 0.9991 0.9991 0.9859 0.9205 0.9989 0.8917 0.9986	We don't know who carried out Charlie Hebdo attack. However if they were Muslims, then they are the enemies of me and most other Muslims.               
#JeSuisCharlie #CharlieHebd #ChalieHebdo One Child , one teacher , one book , and one pen , can Change the World -Malala- http://t.co/I2MpQdnA7G	# # # $ N , $ N , $ N , & $ N , V V D ^ ^ U	0.8649 0.9640 0.9278 0.8653 0.7057 0.9967 0.9650 0.9926 0.9964 0.9605 0.9881 0.9989 0.9984 0.9481 0.9795 0.9985 0.9929 0.9850 0.9994 0.5385 0.8550 0.9979	#JeSuisCharlie #CharlieHebd #ChalieHebdo One Child, one teacher, one book, and one pen,can Change the World -Malala-  http://t.co/I2MpQdnA7G            
VIDEO Ambulances & police race to site of hostage scene north-east of Paris as #CharlieHebdo gunmen reported killed http://t.co/1X6svwi3zz	N N & N N P N P N N N P ^ P ^ N V V U	0.9703 0.7890 0.9921 0.6956 0.9810 0.9974 0.9727 0.9942 0.9330 0.9821 0.5547 0.9983 0.9982 0.8966 0.5899 0.7472 0.9975 0.9499 0.9975	VIDEO Ambulances &amp; police race to site of hostage scene north-east of Paris as #CharlieHebdo gunmen reported killed http://t.co/1X6svwi3zz          
The East London Mosque would like to offer its sincere condolences to the families of those killed during the #CharlieHebdo attacks ( 1/2 )	D ^ ^ N V V P V L A N P D N P O V P D ^ V , $ ,	0.9836 0.8604 0.9997 0.7271 0.9988 0.9852 0.9862 0.9554 0.8169 0.9982 0.9993 0.9999 0.9993 0.9983 0.9990 0.6490 0.9948 0.9952 0.9948 0.8693 0.7826 0.9863 0.9779 0.9714	The East London Mosque would like to offer its sincere condolences to the families of those killed during the #CharlieHebdo attacks (1/2)               
Freedom of speech is a right as much as a cause worth fighting for . Obscurantism is a danger made real today #CharlieHebdo	N P N V D A R A P D N V V P , ^ V D N V A N #	0.9775 0.9925 0.9911 0.9985 0.9946 0.7166 0.6610 0.8239 0.9895 0.9818 0.7386 0.5014 0.9991 0.9857 0.9941 0.5396 0.9987 0.9984 0.9985 0.9827 0.9120 0.9983 0.8416	Freedom of speech is a right as much as a cause worth fighting for. Obscurantism is a danger made real today #CharlieHebdo                              
BREAKING : Two Charlie Hebdo attack suspects in Dammartin-en-Goele killed by security forces : govt source . http://t.co/oZmSoaIueK	N , $ ^ ^ V V P ^ V P N N , N N , U	0.6086 0.9381 0.6041 0.9975 0.9927 0.8443 0.9685 0.9497 0.5663 0.9739 0.9935 0.9549 0.8965 0.9600 0.4000 0.9979 0.9955 0.9973	BREAKING: Two Charlie Hebdo attack suspects in Dammartin-en-Goele killed by security forces: govt source. http://t.co/oZmSoaIueK                        
The Roots of Evil #CharlieHebdo http://t.co/xbteQ8kGK5	D N P A # U	0.9931 0.9560 0.9832 0.9033 0.7372 0.9982	The Roots of Evil #CharlieHebdo http://t.co/xbteQ8kGK5                                                                                                  
French Muslims condemn the Charlie Hebdo shooting http://t.co/W89nBMbNGK http://t.co/aycU89hiPu	A N V D ^ ^ V U U	0.5116 0.9810 0.9985 0.9972 0.9992 0.9811 0.7153 0.9951 0.9992	French Muslims condemn the Charlie Hebdo shooting  http://t.co/W89nBMbNGK http://t.co/aycU89hiPu                                                        
unprecedented : Paris ring road empty at Porte de Vincennes 100m fr hostage taking . Armed police everywhere http://t.co/v4pBRHelnk	A , ^ N N A P ^ P ^ $ P N V , ^ N R U	0.9790 0.9570 0.9980 0.7707 0.9358 0.5708 0.9988 0.9826 0.7222 0.9252 0.8550 0.5412 0.9550 0.9713 0.9972 0.4980 0.4982 0.9879 0.9979	unprecedented: Paris ring road empty at Porte de Vincennes 100m fr hostage taking. Armed police everywhere http://t.co/v4pBRHelnk                       
#CharlieHebdo journalist : " We want to laugh at the extremists — every extremist . They can be Muslim , Jewish , Catholic " http://t.co/TZlKXk6dEi	# N , , O V P V P D N , D N , O V V ^ , ^ , ^ , U	0.5656 0.9942 0.9174 0.9927 0.9971 0.9996 0.9954 0.9861 0.9988 0.9996 0.9974 0.8459 0.9790 0.9990 0.9983 0.9917 0.9997 0.9994 0.5015 0.9977 0.4796 0.9949 0.4444 0.9896 0.9976	#CharlieHebdo  journalist: "We want to laugh at the extremists—every extremist. They can be Muslim, Jewish, Catholic" http://t.co/TZlKXk6dEi            
Pictured : Ahmed Merabet , hero officer executed in #CharlieHebdo attack http://t.co/kdXVG9ujTs http://t.co/SfRItPotb2	V , ^ ^ , N N V P ^ N U U	0.9231 0.9495 0.9986 0.9178 0.9867 0.9325 0.9750 0.9927 0.8815 0.8948 0.5756 0.9955 0.9994	Pictured: Ahmed Merabet, hero officer executed in #CharlieHebdo attack http://t.co/kdXVG9ujTs http://t.co/SfRItPotb2                                    
Pictures From #CharlieHebdo Solidarity Vigils Across The Globe http://t.co/PwIlxlQEuD http://t.co/dgR5c4Tr6m	N P ^ ^ ^ P D ^ U U	0.9411 0.9983 0.9107 0.8687 0.5785 0.9990 0.9764 0.5877 0.9924 0.9992	Pictures From #CharlieHebdo Solidarity Vigils Across The Globe http://t.co/PwIlxlQEuD http://t.co/dgR5c4Tr6m                                            
How Parisians responded to the #CharlieHebdo attack ... http://t.co/O1qrPOGOJ1 http://t.co/KnnfELpPM6	R ^ V P D ^ V , U U	0.9680 0.8660 0.9972 0.9976 0.9915 0.9265 0.6807 0.8414 0.9969 0.9992	How Parisians responded to the #CharlieHebdo attack... http://t.co/O1qrPOGOJ1 http://t.co/KnnfELpPM6                                                    
Hundreds of massacres committed daily against muslims in Burma and nobody says a word #CharlieHebdo #JeSuisCharlie http://t.co/r2qkysjVDw	N P N V R P N P ^ & N V D N # # U	0.9702 0.9964 0.9912 0.9947 0.5831 0.9965 0.8066 0.9986 0.9995 0.9989 0.9464 0.9990 0.9966 0.9650 0.8263 0.9677 0.9981	Hundreds of massacres committed daily against muslims in Burma and nobody says a word  #CharlieHebdo #JeSuisCharlie http://t.co/r2qkysjVDw              
Cowardly attack on Charlie Hebdo's offices . The humourless fanatics can fuck off . Freedom of speech is more important than your feelings .	A N P ^ Z N , D A N V V T , N P N V R A P D N ,	0.9918 0.9330 0.9934 0.9998 0.9485 0.9898 0.9964 0.9924 0.7784 0.9994 0.9985 0.9959 0.9133 0.9958 0.9771 0.9926 0.9924 0.9978 0.8218 0.9974 0.9985 0.9880 0.9991 0.9975	Cowardly attack on Charlie Hebdo's offices. The humourless fanatics can fuck off. Freedom of speech is more important than your feelings.               
Yes , they drew first . Don't ever be silent , don't ever be ignorant . We stand with you ! #JeSuisCharlie Everyone RT ! http://t.co/Jm0y5PGIDh	! , O V A , V R V A , V R V A , O V P O , # N V , U	0.9903 0.9984 0.9911 0.9932 0.5611 0.9985 0.9914 0.9618 0.9971 0.9920 0.9982 0.9994 0.9631 0.9973 0.9988 0.9977 0.9962 0.9858 0.9989 0.9981 0.9991 0.9018 0.9674 0.6498 0.9946 0.9974	Yes, they drew first. Don't ever be silent, don't ever be ignorant. We stand with you! #JeSuisCharlie Everyone RT! http://t.co/Jm0y5PGIDh               
People held pencils in tribute to #CharlieHebdo victims during the moment of silence in Paris http://t.co/XU9pm0XmH3 http://t.co/7tgmW4LqWw	N V N P N P ^ N P D N P N P ^ U U	0.9934 0.9632 0.9761 0.9948 0.9916 0.9974 0.6771 0.9702 0.9962 0.9996 0.9992 0.9979 0.9903 0.9991 0.9973 0.9946 0.9992	People held pencils in tribute to #CharlieHebdo victims during the moment of silence in Paris http://t.co/XU9pm0XmH3 http://t.co/7tgmW4LqWw             
The attack on Charlie Hebdo is likely to radicalize all sides in the debate about Islam and Islamism . That's what terrorists are aiming for .	D N P ^ ^ V A P V D N P D N P ^ & N , L O N V V P ,	0.9911 0.9864 0.9934 0.9995 0.9944 0.9942 0.8061 0.9971 0.9312 0.9921 0.9960 0.9991 0.9993 0.9973 0.9983 0.9951 0.9982 0.5381 0.9988 0.9965 0.6635 0.9973 0.9925 0.9933 0.9878 0.9949	The attack on Charlie Hebdo is likely to radicalize all sides in the debate about Islam and Islamism. That's what terrorists are aiming for.            
Hollywood on #CharlieHebdo shooting : " Free speech must be defended " http://t.co/J69G56xm3S http://t.co/bIQizPgmWn	^ P ^ V , , A N V V V , U U	0.9865 0.9719 0.8401 0.6561 0.9355 0.9899 0.8081 0.9993 0.9760 0.9994 0.9678 0.9900 0.9961 0.9991	Hollywood on #CharlieHebdo shooting: "Free speech must be defended" http://t.co/J69G56xm3S http://t.co/bIQizPgmWn                                       
BREAKING : Gunfire and new explosions heard at the site of hostage-taking in eastern Paris : Reuters reporter http://t.co/3B69JzccUW	N , N & A N V P D N P N P ^ ^ , ^ N U	0.6086 0.9726 0.7872 0.9972 0.9983 0.9889 0.9972 0.9985 0.9995 0.9992 0.9942 0.9460 0.9907 0.6768 0.9998 0.9050 0.9664 0.9703 0.9977	BREAKING: Gunfire and new explosions heard at the site of hostage-taking in eastern Paris: Reuters reporter http://t.co/3B69JzccUW                      
Let 2015 be the year more people from around the world take up cartooning/comics to tell their stories #JeSuisCharlie http://t.co/uoau3GyoI7	V $ V D N A N P P D N V T N P V D N # U	0.9480 0.8742 0.9891 0.9975 0.9655 0.8699 0.9997 0.9985 0.9546 0.9995 0.9796 0.9967 0.9899 0.8703 0.9988 0.9996 0.9923 0.9988 0.8152 0.9983	Let 2015 be the year more people from around the world take up cartooning/comics to tell their stories #JeSuisCharlie http://t.co/uoau3GyoI7            
#CharlieHebdo : what we know so far http://t.co/7GgpZ4tKlF http://t.co/yMGSiOnl3H	# , O O V R R U U	0.8171 0.9074 0.9511 0.9986 0.9982 0.9646 0.9115 0.9953 0.9992	#CharlieHebdo: what we know so far http://t.co/7GgpZ4tKlF http://t.co/yMGSiOnl3H                                                                        
I support #CharlieHebdo and a free press . Please RT these cartoons to show a united and dignified defiance . http://t.co/Mc2aOwSHYA	O V ^ & D A N , V V D N P V D A & A N , U	0.9906 0.9958 0.6233 0.9996 0.9876 0.9907 0.9994 0.9985 0.9022 0.9148 0.9826 0.9974 0.9984 0.9679 0.9656 0.8898 0.9962 0.9882 0.9995 0.9965 0.9986	I support #CharlieHebdo and a free press. Please RT these cartoons to show a united and dignified defiance. http://t.co/Mc2aOwSHYA                      
➟ http://t.co/aWMUyu93fj » UPDATE » 692 Charlie Hebdo Charlie Hebdo shooting : arrests made as police hunt for suspects – live updates #Cha …	^ U ~ N G $ ^ ^ ^ ^ V , N V P N N P V , A N # ,	0.2834 0.9958 0.5684 0.9030 0.4111 0.9643 0.9975 0.9895 0.9998 0.9811 0.6489 0.9592 0.9734 0.9801 0.9420 0.8867 0.7481 0.9993 0.8403 0.9403 0.6411 0.9990 0.7594 0.7212	➟ http://t.co/aWMUyu93fj » UPDATE » 692 Charlie Hebdo  Charlie Hebdo shooting: arrests made as police hunt for suspects – live updates #Cha…            
You shouted ' Allahu Akber ' whilst murdering others ? You are a disgrace to my religion . May the dead rest in peace #notinmyname #charliehebdo	O V , ^ ^ , P V N , O V D N P D N , V D A N P N # #	0.9990 0.9916 0.9418 0.8878 0.9561 0.9584 0.2309 0.9784 0.9850 0.9975 0.9983 0.9995 0.9906 0.9992 0.9995 0.9964 0.9996 0.9988 0.9084 0.9968 0.9816 0.9911 0.9981 0.8395 0.7666 0.9874	You shouted 'Allahu Akber' whilst murdering others? You are a disgrace to my religion. May the dead rest in peace #notinmyname #charliehebdo            
As a Muslim , I find the murder of innocent people more despicable and offensive than any cartoon could ever be . #CharlieHebdo	P D ^ , O V D N P A N R A & A P D N V R V , #	0.9536 0.9957 0.4556 0.9980 0.9974 0.9999 0.9996 0.9981 0.9926 0.9992 0.9988 0.9238 0.9196 0.9960 0.9953 0.9979 0.9912 0.9759 0.9928 0.9805 0.9939 0.9968 0.9731	As a Muslim, I find the murder of innocent people more despicable and offensive than any cartoon could ever be. #CharlieHebdo                           
A satire on Mohammed can get you killed . A satire on Hindu God can get You 300 Crs ! And still Hindus should learn tolerance ? #CharlieHebdo	D N P ^ V V O V , D N P ^ ^ V V O $ ^ , & R ^ V V N , #	0.9858 0.9940 0.9935 0.9998 0.9863 1.0000 0.9997 0.9947 0.9981 0.9750 0.9947 0.9964 0.9119 0.9994 0.9892 1.0000 0.9963 0.9600 0.7025 0.9916 0.9991 0.9637 0.4167 0.9953 0.9992 0.9939 0.9954 0.9538	A satire on Mohammed can get you killed. A satire on Hindu God can get You 300 Crs!  And still Hindus should learn tolerance? #CharlieHebdo             
Google pushes cash to Charlie Hebdo but not Al-Ikhbariyah . What's is Google's view of the world ? http://t.co/ANTlKCmDe6	^ V N P ^ ^ & R G , L V Z N P D N , U	0.9731 0.9876 0.9742 0.9986 0.9985 0.9875 0.9905 0.9984 0.6292 0.9801 0.9868 0.9987 0.5259 0.9770 0.9995 0.9992 0.9560 0.9983 0.9968	Google pushes cash to Charlie Hebdo but not Al-Ikhbariyah. What's is Google's view of the world? http://t.co/ANTlKCmDe6                                 
RAW VIDEO ( WARNING GRAPHIC ): Terror Attack on Charlie Hebdo Paris Headquarters : https://t.co/QZo3WBXHfD via @NomaNescio #ParisShooting	A N , N A , N N P ^ ^ ^ ^ , U P @ #	0.9367 0.9990 0.9767 0.5473 0.5836 0.9387 0.6976 0.7126 0.9940 0.9995 0.9937 0.9995 0.6873 0.9250 0.9861 0.9853 0.9977 0.9610	RAW VIDEO (WARNING GRAPHIC): Terror Attack on Charlie Hebdo Paris Headquarters: https://t.co/QZo3WBXHfD via @NomaNescio  #ParisShooting                 
